id,en,fr,de
use.id,Use %1,Utiliser %1,Benutze %1
use.combine_id,Use %1 with %2,Utiliser %1 avec %2,Benutze %1 mit %2
look.id,Look at,Regarder,Betrachte
pick_up.id,Pick up,Ramasser,Nimm
talk.id,Talk to,Parler à,Spreche mit
UI_CONTINUE,Continue,Continuer,Weiter
UI_NEW_GAME,New Game,Nouveau jeu,Neues Spiel
UI_QUIT,Quit,Quitter,Beenden
UI_YES,Yes,Oui,Ja
UI_NO,No,Non,Nein
UI_QUIT_CONFIRM,Do you want to quit the game ?,Souhaitez-vous vraiment quitter le jeu ?,Möchten Sie das Spiel beenden ?
UI_NEW_GAME_CONFIRM,Start new game? Your unsaved progress will be lost,Commencer un nouveau jeu ? Vous n'avez pas sauvegardé votre progression…,Neues Spiel starten? Alle Fortschritte gehen verloren.
UI_BACK,Back to the main menu,Retour au menu principal,Zurück zum Hauptmenü
UI_CREDITS,Credits,Crédits,Credits
CREDITS,"Escoria in Daïza was created by Elisa de Castro Guerra, Cédric Gémy, Camille ""nylnook"" Bissuel, Gaëtan ""Reptifur"" Hilt and Adrien ""Kooda"" Ramos in Rennes for the ""Creating Point and Click Games with Escoria"" booksprint from August 22 to 26 in Rennes, France. Contributions to translation : Ranito and Chaosprower. 2018 improvements by bosinpai.","Escoria en Daïza a été créé par Elisa de Castro Guerra, Cédric Gémy, Camille ""nylnook"" Bissuel, Gaëtan ""Reptifur"" Hilt et Adrien ""Kooda"" Ramos à Rennes pour le booksprint « Creating Point and Click Games with Escoria » du 22 au 26 août 2016 à Rennes, France. Contributions aux traductions : Ranito and Chaosprower. Améliorations en 2018 par bosinpai."
old_man.tooltip,A wise old forest man,Un vieux sage de la forêt,ein weiser alter Mann aus dem Wald
bad_bamboo.tooltip,A bamboo that smells new,Un bambou qui sent le neuf, Ein neu riechender Bambus
inv_bad_bamboo.tooltip,the bamboo that smells new,le bambou qui sent le neuf, der neu riechende Bambus
bad_bamboo_2.tooltip,A shiny bamboo,Un bambou brillant, Ein glänzender Bambus
inv_bad_bamboo_2.tooltip,the shiny bamboo,le bambou brillant, der glänzende Bambus
good_bamboo.tooltip,A simple bamboo,Un simple bambou, ein einfacher Bambus
inv_good_bamboo.tooltip,the simple bamboo,le simple bambou, der einfache Bambus
good_bamboo_2.tooltip,A well hiden bamboo,Un bambou bien caché, ein gut versteckter Bambus
inv_good_bamboo_2.tooltip,the bamboo that used to be well hidden,le bambou qui était bien caché, der zuvor gut versteckte Bambus
good_bamboo_3.tooltip,A delicious bamboo,Un bambou délicieux, Ein leckerer Bambus
inv_good_bamboo_3.tooltip,the delicious bamboo,le bambou délicieux, der leckere Bambus
chameleon.tooltip,A chameleon,Un caméléon, ein Chamäleon
bamboo_god_2.tooltip,The Great Panda himself!,Le grand panda en personne !, Der große Panda in Person !
flowers.tooltip,some beautiful flowers,de belles fleurs,einige schöne Blumen
